NAME,MW_Installed,Number_of_Installations,Solar_Jobs
Texas,22872,274628,11250
Pennsylvania,1491,68666,4288
Illinois,2719,79794,5562
Wisconsin,2204,15708,3274
Minnesota,2796,19787,4463
North Dakota,2,50,50
Montana,293,5658,352
Washington,682,46149,4107
Oregon,1776,51950,4032
California,47874,1992628,78116
Idaho,830,21007,633
Nevada,6382,118091,7562
Utah,2753,72512,7310
Arizona,7675,288854,8337
Wyoming,124,2401,165
Colorado,4112,141864,7626
New Mexico,1890,54278,2013
Montana,293,5658,352
South Dakota,102,163,483
Nebraska,96,3277,1668
Kansas,152,5836,1004
Oklahoma,181,11012,872
Iowa,601,15483,886
Missouri,627,38154,2894
Arkansas,895,13695,376
Louisiana,352,20181,3185
Kentucky,192,6282,1595
Tennessee,889,2640,4347
Mississippi,576,1033,911
Indiana,1895,9785,3946
Michigan,1444,21851,4073
Ohio,2275,19371,7486
Alabama,823,237,716
Georgia,5913,12220,5382
Florida,13912,223873,12267
South Carolina,2554,33957,3393
North Carolina,9310,49502,7072
Virginia,4841,50318,4753
West Virginia,38,2499,378
Maryland,2054,96301,4921
New Jersey,5276,189476,6594
New York,5560,204950,11512
Vermont,429,10340,1191
New Hampshire,263,18644,1108
Massachusetts,5070,159247,5070
Connecticut,1481,89682,2300
Rhode Island,967,20996,1089
Maine,993,7995,678
Hawaii,1808,113156,2393
Alaska,30,2593,74
